OBJECTID,HUC12,Name,NtvFish,FishSWNorm,Shape__Area,Shape__Length
28,180101010307,Rock Creek,8,0.33333333,74797420.484375,41125.3173554866
29,180101010305,Hurdygurdy Creek,8,0.33333333,139359732.046875,75837.7185888575
30,180101080301,South Fork Big River,6,0.25,235823206.710938,87858.8093209294
31,180101030404,Long Valley Creek,6,0.25,116559175.617188,59234.5615000596
32,180101080202,Upper Noyo River,5,0.20833333,118233435.921875,53970.0362476496
33,180101060301,Hollow Tree Creek,8,0.33333333,183294168.933594,71913.0900941571
34,180101050405,Pipe Creek-Eel River,10,0.41666667,174407046.273438,79961.3677294686
35,180101050903,Baker Creek-Van Duzen River,9,0.375,180272483.980469,75550.17292257
36,180101020401,Bug Creek-Mad River,7,0.29166667,229782836.71875,81530.8628740969
37,180102111201,Willow Creek,10,0.41666667,197063196.585938,74656.7863943681
38,180102111209,Deerhorn Creek-Trinity River,15,0.625,122220114.175781,56135.1537322563
39,180102111204,Tish Tang a Tang Creek,13,0.54166667,136351918.324219,62379.0727520632
40,180102090802,Boise Creek-Klamath River,16,0.66666667,225113790.660156,85703.9924202343
41,180102090701,Rock Creek,10,0.41666667,153705206.734375,60236.7651272014
42,180102090605,Swillup Creek-Klamath River,13,0.54166667,109920971.042969,46569.2087778882
43,180102090401,Tenmile Creek,5,0.20833333,73306100.1328125,38978.967221269
44,171003110303,Lower East Fork Illinois River,3,0.125,1684036.6640625,10074.31852411
45,180101090105,Buckeye Creek,9,0.375,171571426.808594,71320.2549720708
46,180101100101,Burright Creek-East Fork Russian River,5,0.20833333,201548168.316406,72709.6000082931
47,180101040507,Goforth Creek-Middle Fork Eel River,7,0.29166667,71215078.0976563,40832.1402971277
48,180101030302,Lower Tomki Creek,6,0.25,138403729.003906,69703.9938850651
49,180101050201,Woodman Creek,5,0.20833333,110114898.988281,47705.0432967806
50,180101050206,Big Bend Creek-Eel River,9,0.375,145134885.726563,66181.7662647944
51,180101050106,Casoose Creek,4,0.16666667,110098133.027344,49537.639184142
52,180101020202,Barry Creek-Mad River,4,0.16666667,193894622.210938,63623.5353231824
53,180102120301,Salt Creek,7,0.29166667,257857938.421875,97959.547275756
54,180102100402,Crapo Creek-Salmon River,9,0.375,114728576.691406,61554.4211298205
55,180102110902,Upper North Fork Trinity River,6,0.25,166678061.4375,72795.0958415586
56,180102100403,Butler Creek-Salmon River,13,0.54166667,168185806.15625,67290.5747011513
57,180102090601,Oak Flat Creek-Klamath River,12,0.5,152453331.789063,56317.1542181462
58,180102061101,Grider Creek,9,0.375,200613371.882813,77534.5603361443
59,180102061103,Bittenbender Creek-Klamath River,10,0.41666667,258067562.496094,101472.04349614
60,171003090107,Carberry Creek,2,0.08333333,1423114.3359375,6451.47368918138
61,180500050400,Abbotts Lagoon-Frontal Pacific Ocean,9,0.375,70255732.171875,103740.169223221
62,180500050304,Tomales Bay,13,0.54166667,194700933,93095.1044953466
63,180500050303,Estero De San Antonio,11,0.45833333,217873922.175781,93858.9765811599
64,180101100802,Ward Creek-Austin Creek,12,0.5,161248130.070313,72475.4324257305
65,180101100504,Lake Sonoma-Dry Creek,9,0.375,185732440.929688,81542.1153911528
66,180101100503,Warm Springs Creek,7,0.29166667,145908418.464844,70363.1005517512
67,180101100601,Gill Creek-Russian River,13,0.54166667,173432870.976563,77516.083281085
68,180101100507,West Slough-Dry Creek,14,0.58333333,179968884.832031,88942.457999467
69,180101100602,Sausal Creek-Russian River,13,0.54166667,197259105.382813,70234.2573536136
70,180101100406,Dooley Creek,9,0.375,67337100.9960938,46311.9281160098
71,180201160203,Clover Creek,6,0.25,119167307.734375,56081.4302754765
72,180101040103,Baldy Creek-Black Butte River,6,0.25,157218024.410156,54229.8407024675
73,180101040204,Red Chert Creek-Middle Fork Eel River,4,0.16666667,102688223.792969,50157.5721984964
74,180201150301,Headwaters Grindstone Creek,2,0.08333333,169112047.253906,64517.9684037899
75,180101040201,Balm of Gilead Creek,4,0.16666667,95077026.9023438,46013.3800907161
76,180201520101,South Fork Beegum Creek,2,0.08333333,151673855.183594,58145.0591031326
77,180201520103,Lower Beegum Creek,5,0.20833333,112593580.0625,65625.202181927
78,180201520501,Upper Cold Fork,2,0.08333333,176221906.179688,83373.215779415
79,180102111101,Conner Creek Trinity River,9,0.375,271363549.0625,90190.2624518501
80,180102110602,Lower Browns Creek,9,0.375,151211873.851563,62136.6043072878
81,180102110801,Upper Canyon Creek,6,0.25,130302205.589844,60742.5996539767
82,180102100104,Garden Gulch-South Fork Salmon River,8,0.33333333,169962078.3125,76454.8608855732
83,180102080204,Sugar Creek-Scott River,8,0.33333333,179355841.101563,77536.6178882887
84,180102080602,Boulder Creek-Scott River,8,0.33333333,93085421.3007813,43561.186239034
85,180102080203,French Creek,7,0.29166667,153208335.4375,59430.4310316313
86,180102080604,Tompkins Creek-Scott River,9,0.375,128099877.929688,58278.7699849175
87,180102061002,Little Humbug Creek-Klamath River,9,0.375,90165955.0546875,48184.6042321936
88,171003090103,Dutch Creek-Elliott Creek,3,0.125,119917319.15625,52651.6788857369
89,180500060204,San Pedro Creek-Frontal Pacific Ocean,9,0.375,129228842.144531,93194.0347873006
90,180500020607,Miller Creek-Frontal San Pablo Bay Estuaries,16,0.66666667,120958136.65625,100568.726891134
91,180500020601,Petaluma River,8,0.33333333,188846538.042969,65825.9943772756
92,180500020605,Adobe Creek-Frontal San Pablo Bay Estuaries,8,0.33333333,130103005.109375,108264.553528939
93,180101100604,Maacama Creek,11,0.45833333,197086472.328125,75905.3375037282
94,180201620303,Big Canyon Creek-Putah Creek,6,0.25,139208810.933594,83629.1791279722
95,180201160301,Thurston Lake,6,0.25,77204744.734375,48243.5905466095
96,180201160402,Twin Valley Creek-North Fork Cache Creek,5,0.20833333,172987301.203125,71150.3323842903
97,180201150201,Middle Fork Stony Creek,3,0.125,138557524.488281,56123.840454689
98,180201150306,Lower Grindstone Creek,4,0.16666667,155633572.875,76100.0597136642
99,180201520604,Middle Dry Creek,3,0.125,110932838.308594,77854.5702775076
100,180102110303,Middle East Fork Trinity River,3,0.125,90920576.8945313,42238.4347609283
101,180102080302,McAdam Creek,8,0.33333333,125118209.027344,59985.447155514
102,180102060801,Humbug Creek,9,0.375,172234767.433594,58773.8992259383
103,180102070503,Bunton Hollow Creek-Shasta River,9,0.375,191961673.921875,81163.4852541925
104,180500060201,Arroyo Leon,8,0.33333333,118443353.054688,63948.311539825
105,180500040902,Cordileras Creek-Frontal San Francisco Bay Estuaries,13,0.54166667,180972491.828125,92907.5489631512
106,180500021001,Angel Island-San Francisco Bay Estuaries,17,0.70833333,99145238.6171875,406713.908655615
107,180500020401,American Canyon Creek-Frontal San Pablo Bay Estuaries,19,0.79166667,126857858.746094,94904.4152211216
108,180500020702,Pinole Creek-Frontal San Pablo Bay Estuaries,15,0.625,234931451.621094,177468.301809983
109,180500020101,Chiles Creek,8,0.33333333,135755505.277344,73682.614715393
110,180201620101,Upper Eticuera Creek,5,0.20833333,110361712.320313,54385.9342045277
111,180201040602,Funks Creek,11,0.45833333,126064672.964844,98306.2802213492
112,180201040103,Middle South Fork Willow Creek,8,0.33333333,147323873.492188,143295.72052545
113,180201570305,Sour Grass Creek,12,0.5,108541817.464844,60389.1543330551
114,180201570702,Jewett Creek,14,0.58333333,74485238.6992188,84353.6197555048
115,180201520703,Pine Creek-South Fork Cottonwood Creek,13,0.54166667,114249544.753906,66219.5262008732
116,180201550402,Spring Creek-Sacramento River,17,0.70833333,181634795.550781,90044.3584223412
117,180201540303,Olney Creek-Sacramento River,14,0.58333333,148372446.109375,66891.0246587856
118,180201510403,Basin Hollow Creek-Cow Creek,14,0.58333333,104406710.90625,83013.2593262606
119,180200050307,Mosquito Creek-Sacramento River,6,0.25,65642560.90625,48658.5058073599
120,180200050402,Charlie Creek-Sacramento River,8,0.33333333,130646461.859375,59864.9160942867
121,180200050104,Deer Creek-Sacramento River,1,0.04166667,144425807.925781,74453.0299534135
122,180200050301,Hazel Creek,3,0.125,100029439.429688,46452.1317553415
123,180200040405,Tuna Creek-McCloud River,4,0.16666667,70161154.0117188,37006.3222622075
124,180102070408,Big Springs Creek-Shasta River,8,0.33333333,207355489.835938,128249.48743835
125,180102060702,Brush Creek-Klamath River,9,0.375,161744579.597656,79943.9686324574
126,180600060201,San Jose Creek,8,0.33333333,57708484.7460938,45582.4163744906
127,180600150202,Zayante Creek-San Lorenzo River,6,0.25,221903978.421875,70007.8617994645
128,180500030204,Lower Penitencia Creek-Frontal San Francisco Bay Estuaries,12,0.5,125083804.492188,56616.0891733854
129,180500010203,Pine Creek,11,0.45833333,130062546.835938,58830.1555544872
130,180500010402,Suisun Bay Islands,18,0.75,17006032.28125,72017.1786188878
131,180500010403,Suisun Bay,20,0.83333333,198342802.472656,226901.029281978
132,180500010101,Ledgewood Creek,12,0.5,74311120.0039063,52326.5009959383
133,180201160702,Salt Creek,8,0.33333333,94844074.4492188,48584.0966210168
134,180201620503,McCune Creek-Putah Creek,9,0.375,127321340.042969,93374.121490107
135,180201041005,Oat Creek,12,0.5,118346223.007813,86888.8581794777
136,180201580303,Angel Slough,16,0.66666667,114983849.945313,130350.386671655
137,180201580404,Drumheller Slough-Butte Creek,16,0.66666667,1206564017.88281,258432.321527109
138,180201580302,Little Chico Creek,15,0.625,206362336.925781,138142.061026663
139,180201570703,Hoag Slough-Sacramento River,19,0.79166667,198418941.652344,127509.597057159
140,180201570401,Brush Creek,13,0.54166667,87795011.3046875,44382.6710240892
141,180201550102,Upper Paynes Creek,7,0.29166667,114456768.511719,82520.9445199736
142,180201510202,Lower South Cow Creek,6,0.25,212589345.898438,88432.3623532788
143,180201510401,Clover Creek,7,0.29166667,242041618.460938,125992.781599967
144,180201510301,Cedar Creek,3,0.125,106417230.972656,72613.6539339155
145,180200040403,Bald Mountain Creek-McCloud River,4,0.16666667,121994228.378906,66438.1583927786
146,180102050101,Blue Canyon,2,0.08333333,95238304.0664063,40835.3990424202
147,180200040103,Trout Creek,1,0.04166667,134611026.71875,70869.3693785143
148,180600060305,Limekiln Creek-Frontal Pacific Ocean,8,0.33333333,157395170.640625,96450.0531112063
149,180600060103,Tularcitos Creek,3,0.125,225799360.886719,73155.1089473538
150,180600060101,Cachagua Creek,3,0.125,187278809.5,69896.9326210386
151,180600150304,Canyon Del Rey,9,0.375,79567918.515625,51139.1392187709
152,180600020804,Watsonville Slough Frontal,14,0.58333333,97879071.8945313,57583.8186288013
153,180500030104,San Felipe Creek,6,0.25,202900192.007813,84596.6121703145
154,180500030102,Middle Fork Coyote Creek,6,0.25,93159981.359375,54213.8729290953
155,180500040406,Dry Creek-Arroyo Valle,7,0.29166667,89387524.2070313,68434.388199036
156,180201630702,Beaver Lake-Sacramento River,21,0.875,186921204.355469,123867.181646455
157,180201610303,Pleasant Grove Creek Canal-Cross Canal,16,0.66666667,193623247.125,106753.90314342
158,180201590202,Oregon Gulch-Feather River,16,0.66666667,201874519.855469,139815.089644083
159,180201580203,Hamlin Slough,14,0.58333333,183879474.082031,83019.4207758598
160,180201530202,Upper South Fork Battle Creek,4,0.16666667,166368670.617188,76077.0750623846
161,180201510101,Glendenning Creek,3,0.125,94216869.375,43554.6859969242
162,180201510201,Upper South Cow Creek,3,0.125,142171341.347656,60182.7744765812
163,180201530201,Panther Creek,4,0.16666667,76289741.7109375,46814.2159552177
164,180201530104,Bailey Creek,4,0.16666667,145330713.183594,94863.649449789
165,180200030903,Green Burney Creek-Burney Creek,3,0.125,131690957.601563,60685.6336544539
166,180200040201,McCloud River Headwaters,1,0.04166667,105519817.402344,46461.5989178464
167,180200030404,Upper Bear Creek,5,0.20833333,190899589.976563,85760.1547325188
168,180102041303,Willow Creek,1,0.04166667,296894444.453125,139918.261515901
169,180102041403,Klamath Strait Drain,5,0.20833333,82174489.2382813,102940.980338986
170,180600051304,Santa Lucia Creek,6,0.25,73271439.5117188,46668.5367891641
171,180600050704,Forest Creek-San Antonio River,2,0.08333333,171918189.015625,74207.1743024015
172,180600050703,Mission Creek,2,0.08333333,80538078.3710938,57735.474593582
173,180600051405,Shirttail Gulch-Salinas River,8,0.33333333,142980917.167969,74866.8872583521
174,180600051404,Stonewall Creek,4,0.16666667,64793498.9921875,49409.4483024359
175,180600020102,Santa Ana Creek,5,0.20833333,213385164.675781,98769.1449213921
176,180500030101,East Fork Coyote Creek,6,0.25,164142601.96875,90690.9416478202
177,180600020201,Upper North Fork Pacheco Creek,3,0.125,109002653.222656,72722.0113002069
178,180600020205,Upper Pacheco Creek,4,0.16666667,76235993.6054688,51688.7015129774
179,180400020101,Red Creek-South Fork Orestimba Creek,2,0.08333333,100145922.269531,64022.1347676056
180,180400011903,Quinto Creek,2,0.08333333,124500519.53125,85062.0315706117
181,180400030501,Burns Cutoff-San Joaquin River,18,0.75,73758111.9179688,56382.9434467253
182,180400130803,Grizzly Slough-Cosumnes River,15,0.625,147960495.082031,94399.1640363015
183,180201630403,Laguna Creek,13,0.54166667,203519442.417969,118586.899149336
184,180400130503,Lower Deer Creek,13,0.54166667,192098780.269531,137689.476832436
185,180201610204,Ping Slough-Coon Creek,17,0.70833333,233943084.238281,87299.8716386124
186,180201251002,Woods Creek-Yuba River,7,0.29166667,144242013.554688,77928.5083419224
187,180201250902,Middle Dry Creek,6,0.25,173230342.828125,69559.8810694672
188,180201260402,Vineyard Creek-Dry Creek,7,0.29166667,211818440.585938,74333.8970667216
189,180201570202,Lost Creek-Deer Creek,3,0.125,135776430.042969,77839.1600322809
190,180201210101,Warner Creek,4,0.16666667,198570490.800781,104900.448973531
191,180200030505,Tule River,10,0.41666667,252497851.816406,93153.8062671033
192,180102041104,Double Head Mountain,3,0.125,251302950.105469,84664.4360496685
193,180600060404,San Simeon Creek,9,0.375,126244876.378906,58791.612686163
194,180600050610,Nacimiento Reservoir-Nacimiento River,3,0.125,132508812.285156,60291.9043217252
195,180600051203,Topo Creek,2,0.08333333,157514072.394531,76799.3997310236
196,180600051108,Sweetwater Canyon,5,0.20833333,83438664.6914063,58643.2364204718
197,180400011302,Ortigalita Creek,2,0.08333333,112714362.761719,74124.7368266811
198,180400011203,O'Neill Forebay-San Luis Creek,3,0.125,78487354.9140625,47704.999817377
199,180400012102,Mud Slough,5,0.20833333,321940004.0625,154828.544896256
200,180400510204,Simmons Creek-Littlejohns Creek,12,0.5,184460018.894531,154205.35864513
201,180201260301,Magnolia Creek-Bear River,6,0.25,196095259.769531,99682.7191097615
202,180201250402,Slate Creek,0,0,268914518.996094,114508.454954473
203,180200030602,Poison Lake,1,0.04166667,171662585.613281,63199.8546942716
204,180800030401,Headwaters Susan River,3,0.125,131520658.621094,85112.3420374391
205,180200030107,Little Valley-Horse Creek,3,0.125,119918519.984375,55258.3074757433
206,180200030801,Clarks Valley-Pit River,8,0.33333333,73918753.4335938,42533.2346227593
207,180200021802,South Fork Juniper Creek,3,0.125,101990270.308594,57302.1712025673
208,180200021703,Big Swamp-Ash Creek,7,0.29166667,310132181.605469,115223.605004929
209,180102041103,Lone Pine Butte,0,0,245687608.082031,77944.5101265272
210,180102040110,Boles Creek,8,0.33333333,135746685.265625,92858.4670094717
211,180600060413,Willow Creek-Frontal Pacific Ocean,10,0.41666667,29096021.8476563,49058.3082217438
212,180600060412,Morro Creek,9,0.375,94067302.78125,57680.975268896
213,180600050711,Kemp Canyon-San Antonio River,4,0.16666667,84850023.6679688,60988.014645113
214,180600050901,North Fork Lewis Creek,2,0.08333333,82759766.2421875,47859.6653150636
215,180400012001,Upper Poso Slough,5,0.20833333,471873796.296875,183589.214941137
216,180400011804,City of Winton-Bear Creek,8,0.33333333,332892425.304688,86883.356125313
217,180400510201,McCarty Creek-Littlejohns Creek,7,0.29166667,97419690.5625,56130.7029705925
218,180400110104,Cherokee Creek,5,0.20833333,122811777.976563,70573.7703319232
219,180400110106,Calaveritas Creek,4,0.16666667,140612938.132813,74032.8003178051
220,180400110103,San Domingo Creek,4,0.16666667,137690901.390625,97466.8943972576
221,180400130203,Martinez Creek,7,0.29166667,85978587.5546875,59330.2220771644
222,180400120603,North Fork Dry Creek-Dry Creek,5,0.20833333,83519481.9648438,70303.6678788588
223,180400130301,Scott Creek,6,0.25,158501570.984375,70455.5214131444
224,180201290504,White Rock Creek-South Fork American River,8,0.33333333,84949501.9492188,56550.0795233954
225,180201280403,Peavine Creek-North Fork Middle Fork American River,6,0.25,145323073.660156,78108.2801592099
226,180201280208,Long Canyon,3,0.125,210052334.183594,100677.817308793
227,180201250604,Fall Creek-South Yuba River,0,0,152334065.917969,65105.9811387408
228,180201250103,Downie River,1,0.04166667,81421833.2929688,48361.550675978
229,180201220603,Ward Creek-Indian Creek,3,0.125,133584641.449219,65535.0280910348
230,180800030404,Willard Creek,4,0.16666667,130205152.507813,52871.9864096411
231,180800030605,Upper Willow Creek ,4,0.16666667,253326958.996094,82125.252164401
232,180800030203,Bullard Lake,3,0.125,93194270.4921875,61657.413223789
233,180800020304,Grasshopper Valley,1,0.04166667,235647788.683594,82924.9742220362
234,180800020209,Anderson Canyon,1,0.04166667,302540231.765625,94934.9205005898
235,180200021404,Ash Valley-Ash Creek,5,0.20833333,251208947.15625,80579.877511724
236,180200021002,Witcher Creek,2,0.08333333,105160309.851563,53123.1511452401
237,180600140101,San Miguel Island,0,0,54194906.0351563,65871.3346717644
238,180600100702,Salsipuedes Creek,4,0.16666667,73294304.078125,52187.9335861046
239,180600100701,El Jaro Creek,4,0.16666667,126614184.234375,57855.3205852146
240,180600090103,Harris Canyon,4,0.16666667,69372372.4375,46453.4032988572
241,180600060605,Lower Arroyo Grande Creek,8,0.33333333,117639430.53125,87537.788694205
242,180600060604,Los Berros Creek,5,0.20833333,110270502.613281,69196.6485808845
243,180600070402,Lower Alamo Creek,1,0.04166667,145213808.523438,72730.0049515435
244,180600050305,180600050305,2,0.08333333,70998622.8828125,47951.5710320672
245,180600050203,Pilitas Creek-Salinas River,3,0.125,138703757.933594,77901.9113516159
246,180600040304,McDonald Canyon-San Juan Creek,2,0.08333333,142558138.46875,77473.6463728451
247,180600040207,Lower Cholame Creek,2,0.08333333,191711923.566406,96168.2833399055
248,180300120303,Middle Warthan Creek,0,0,123990239.949219,59415.492418144
249,180300120602,White Creek,0,0,165979494.914063,65331.2242412994
250,180300090804,Town of Tranquility-Fresno Slough,4,0.16666667,232322474.054688,115549.452554207
251,180300090803,Mud 1085 Dam-Fresno Slough,4,0.16666667,218940025.402344,96080.3854249049
252,180400011403,Lower Black Rascal Creek,7,0.29166667,124782187.585938,103357.890875242
253,180400011603,Middle Mariposa Slough,5,0.20833333,235065274.265625,95146.6805088877
254,180400011702,Upper Owens Creek,6,0.25,155868189.933594,145262.553824725
255,180400091301,Gallup Creek-Dry Creek,11,0.45833333,84107992.234375,53081.1169957861
256,180400091202,Moccasin Creek,4,0.16666667,73783589.8632813,56749.5621445173
257,180400100605,Mormon Creek-Stanislaus River,7,0.29166667,222113678.726563,101655.070303744
258,180400100602,Stony Gulch-Stanislaus River,7,0.29166667,71454382.359375,55426.1702045559
259,180400120203,Lower South Fork Mokelumne River,4,0.16666667,62490353.71875,42902.9831238581
260,180400120405,Mill Creek-North Fork Mokelumne River,5,0.20833333,119946557.222656,87609.7437827612
261,180400120303,Lower Middle Fork Mokelumne River,4,0.16666667,98855248.8359375,84863.9187931584
262,180400130201,Steely Fork Cosumnes River,5,0.20833333,112190994.21875,57046.0439189276
263,180201290201,Bassi Fork,0,0,91169642.484375,53250.5985944953
264,180201290302,Chimney Flat-South Fork American River,0,0,98490219.7148438,59270.2138470349
265,180201250501,Pass Creek,0,0,79139131.5546875,40077.6061559344
266,180201220202,Cottonwood Creek,2,0.08333333,74161487.25,47283.4563344194
267,180800030607,Lower Willow Creek,4,0.16666667,219869534.03125,101910.182930015
268,180800020201,Coyote Flat,1,0.04166667,218439049.265625,69540.1879818054
269,180200020402,Romero Creek-South Fork Pit River,9,0.375,204223939.527344,95672.8714746375
270,180200020705,Rattlesnake Creek,6,0.25,113921520.328125,62997.3378965611
271,180200020502,Gleason Creek,6,0.25,77763334.0507813,46960.1616213212
272,180200020603,Thoms Creek,5,0.20833333,120541747.148438,55058.30745248
273,180600100602,Santa Rosa Creek-Santa Ynez River,5,0.20833333,167382005.769531,64887.1823803181
274,180600130105,Tajiguas Creek-Frontal Santa Barbara Channel,7,0.29166667,185041862.945313,73185.3137894773
275,180600080301,Manzana Creek,1,0.04166667,216266219.300781,79645.6228780303
276,180600070401,Upper Alamo Creek,1,0.04166667,197088966.558594,67160.3488851173
277,180600040103,Rogers Creek-San Juan Creek,2,0.08333333,210689274.878906,76228.6151146173
278,180600040102,Barrett Creek-San Juan Creek,2,0.08333333,146207778.175781,69052.107031623
279,180300121702,Cottonwood Creek,1,0.04166667,77392866.6523438,51743.3920230018
280,180300121402,Franciscan Creek,1,0.04166667,76070612.2226563,53333.9342146629
281,180300121704,Alamo Solo Spring,2,0.08333333,178930083.464844,78066.2859750387
282,180300122202,Arroyo Robador-Frontal Tulare Lake Bed,2,0.08333333,109922839.386719,53277.5710172687
283,180400070402,Upper Dry Creek,6,0.25,106961266.136719,74010.8381028403
284,180400070304,Schmidt Creek-Fresno River,5,0.20833333,206903763.972656,116901.067803577
285,180400010802,Town of Trigo,5,0.20833333,107234761.496094,72213.2366274976
286,180400011101,Upper Burns Creek,5,0.20833333,166926526.664063,68496.576648745
287,180400011502,Stockton Creek-Mariposa Creek,5,0.20833333,140151445.804688,74669.1661993804
288,180400080403,Indian Gulch-North Fork Merced River,5,0.20833333,137784829.519531,61695.1384437811
289,180400100302,Highland Creek,0,0,259948106.992188,103328.462216388
290,180201290102,Silver Lake-Silver Fork American River,0,0,100258643.175781,51998.9798127435
291,160501010301,Big Meadow Creek-Upper Truckee River,7,0.29166667,117107436.554688,56654.18924173
292,180201290301,Lake Aloha-South Fork American River,0,0,232615902.011719,79836.212596756
293,160501020205,Prosser Creek ,8,0.33333333,141016100.160156,65291.1717936349
294,160501020204,Martis Creek,7,0.29166667,180997897.582031,60952.7333937664
295,160501010102,Incline Lake-Frontal Lake Tahoe,6,0.25,1538109.8984375,10321.6677116727
296,180201230201,Badenaugh Canyon-Smithneck Creek,1,0.04166667,137212694.753906,51710.5418697075
297,160501020107,Boca Reservoir-Little Truckee River,7,0.29166667,157561589.21875,59695.7220490849
298,180800031302,Robinson Canyon-Long Valley Creek,4,0.16666667,157487816.039063,67372.4064653616
299,180800031402,Middle Skedaddle Creek,3,0.125,40299810.9023438,34795.6533765765
300,180800030507,Lower Deep Creek,3,0.125,224605793.796875,83273.1247304531
301,180800020105,Painters Creek,1,0.04166667,126227264.113281,62301.3498575989
302,180800020102,Upper Red Rock Creek,1,0.04166667,148105240.34375,65347.5921565933
303,180800010301,Hays Canyon,0,0,17045671.9257813,24308.7427670622
304,180800010202,Fortynine Creek-Frontal Middle Alkali Lake,0,0,100884048.53125,52349.7470614386
305,180800010101,Bidwell Creek-Frontal Upper Alkali Lake,0,0,139144543.269531,70449.6187523218
306,180800010106,Mud Lake-Frontal Upper Alkali Lake,0,0,163303591.128906,73099.8678685497
307,180600100102,Indian Creek,1,0.04166667,135592007.933594,72893.4100875484
308,180600130203,Mission Creek-Frontal Santa Barbara Channel,7,0.29166667,207967890.320313,89611.9700142285
309,180600070304,Powell Canyon,1,0.04166667,78941288.09375,45552.8707154996
310,180600070302,Schoolhouse Canyon-Cuyama River,1,0.04166667,222600107.742188,82223.6780880194
311,180300121601,Santos Creek,1,0.04166667,81977700.5546875,60447.6828951292
312,180300121504,Town of Lost Hills,2,0.08333333,200101100.785156,96490.1826659227
313,180300122104,Liberty Farms South Canal-Frontal Tulare Lake Bed,2,0.08333333,170741625.875,67608.9550527903
314,180300120703,Empire Weir Number One-Kings River,3,0.125,94651277.3867188,60618.3511960751
315,180400070401,Daulton Creek,4,0.16666667,101478407.433594,69509.0718705988
316,180400070302,Willow Creek,4,0.16666667,86765592.359375,63973.1536005963
317,180400010504,Striped Rock Creek,5,0.20833333,98301266.265625,54702.0584766299
318,180400010501,West Fork Chowchilla River,5,0.20833333,231606072.285156,96410.4596346293
319,180400080303,Cascade Creek,2,0.08333333,81960539.0625,50566.7547485253
320,180400080304,Indian Canyon Creek-Merced River,3,0.125,130409232.425781,82270.806121641
321,180400080204,Middle South Fork Merced River,4,0.16666667,238700775.398438,111874.814370602
322,180400080203,Big Creek,3,0.125,127657658.378906,67056.9778811236
323,180400090303,Kibbie Creek,0,0,67198839.8164063,45318.1203730769
324,180400090503,Falls Creek,0,0,186221255.464844,103375.444417772
325,160502010105,Bagley Valley-East Fork Carson River,6,0.25,109642459.890625,58134.5287087179
326,180600070201,Ballinger Canyon Wash,1,0.04166667,68837082.0664063,47355.7503640355
327,180300031503,Broad Creek,0,0,106402044.796875,64635.9633640828
328,180300031504,Buena Vista Valley-Buena Vista Creek,0,0,150688422.441406,102545.747308066
329,180300031402,Bitter Creek,0,0,69195708.4726563,54729.4082380122
330,180300120806,Jerry Slough,2,0.08333333,226822383.167969,76717.6410560109
331,180300060805,Lower Elk Bayou,3,0.125,76185883.2382813,50773.3134446262
332,180300122101,Town of Poplar,3,0.125,236211687.347656,117642.464307431
333,180300071205,Caesar Ditch-Cross Creek,3,0.125,165039574.945313,136743.211163409
334,180300071203,Smith Mountain Ditch,4,0.16666667,182599599.027344,90208.1445578202
335,180400010101,Upper Little Dry Creek,5,0.20833333,177934465.984375,65541.6894598848
